번호,제목,저자,출판사,출판일
53,Collaborative Distributed Virtual Sculpting,"Li, F. W. B.;Lau, R. W. H.;Ng, F. F. C.",IEEE,2001
54,Virtual Environment Applications in Clinical Neuropsychology,"Rizzo, A.;Buckwalter, J. G.;van der Zaag, C.;Neumann, U.;Thiebaux, M.;Chua, C.;van Rooyen, A.;Humphrey, L.;Larson, P.",IEEE,2000
55,The Pen and Paper Paradigm-Supporting Multiple Users on the Virtual Table,"Ehnes, J.;Knopfle, C.;Unbescheiden, M.",IEEE,2001
56,A Study of Interactive 6 DOF Docking in a Computerized Virtual Environment,"Boritz, J.;Booth, K. S.",IEEE Computer Society,1998
57,Design and Evaluation of Menu Systems for Immersive Virtual Environments,"Bowman, D. A.;Wingrave, C. A.",IEEE,2001
58,The Effect of 3D Widget Representation and Simulated Surface Constraints on Interaction in Virtual Environments,"Lindeman, R. W.;Sibert, J. L.;Templeman, J. N.",IEEE,2001
59,Gait Master: A Versatile Locomotion Interface for Uneven Virtual Terrain,"Iwata, H.;Yano, H.;Nakaizumi, F.",IEEE,2001
60,Realistic Haptic Rendering for Highly Deformable Virtual Objects,"Mendoza, C. A.;Laugier, C.",IEEE,2001
61,Modified Shutter Glasses for Projection and Picture Acquisition in Virtual Environments,"Kunz, A. M.;Spagno, C. P.",IEEE,2001
62,Virtual Liquid Manipulation Using General Shape Vessel,"Funahashi, K.;Iwahori, Y.",IEEE,2001
63,Iota: An Approach to Physically-Based Modelling in Virtual Environments,"Glencross, M.;Howard, T.;Pettifer, S.",IEEE,2001
64,Tutorial 3: Interactive Simulation for Multimodal Virtual Environments,"Pai, D. K.",IEEE,2001
65,The Boundaries of Scientific Culture in Virtual Heritage,"Britton, B.",IOS,2001
66,Tutorial 2: Designing and Implementing an Effective Virtual Reality Trainer,"Breaux, R.;Nguyen, L.;Schmorrow, D.;Cohn, J.",IEEE,2001
67,Tutorial 1: Advances in the Application of Virtual Environments for Mental Healthcare,"Rizzo, A. A.",IEEE,2001
68,Tutorial 5: Virtual Reality for Fun and Profit,"Cruz-Neira, C.;Swartout, W.;Macedonia, M. R.",IEEE,2001
69,Building a Worldwide Photorealistic Virtual Environment by Switching between Subenvironments,"Tanikawa, T.;Hirose, M.",IEEE,2001
70,Simulator Sickness and Presence in a High FOV Virtual Environment,"Seay, A. F.;Krum, D. M.;Hodges, L.;Ribarsky, W.",IEEE,2001
71,How Much is Your Virtual Environment Worth? Considering Economical Requests in Online 3D-Worlds,"Kurze, M.",IEEE,2001
72,"Interaction, Navigation, and Visualization Props in Complex Virtual Environments Using Image Based Rendering Techniques","Stoev, S. L.;Peter, I.;Strasser, W.",IEEE,2001
73,Electrocutaneous Display as an Interface to a Virtual Tactile World,"Kajimoto, H.;Kawakami, N.;Maeda, T.;Tachi, S.",IEEE,2001
74,Towards Greater Reality in Virtual Heritage - Modelling the Frigate HMS Unicorn,"Sutherland, J. N.; Ojika, T.",IEEE Computer Society,1997
75,Extreme VR - Modeling and Simulation for Virtual Worlds,"Macedonia, M. R.; Zyda, M.; Barham, P.; Mamaghani, F.",IEEE,1999
76,A brush device with visual and haptic feedback for virtual painting of 3D virtual objects,"Otsuki, Mai; Sugihara, Kenji; Toda, Azusa; Shibata, Fumihisa; Kimura, Asako",Springer Nature,2017
77,The Construction of Virtual Archaeological Museum,"Uehara, K.;Tanaka, K.;Abe, N.;Zheng, J.",IOS,2001
78,Virtual Worlds and the Design Enterprise: Post-Technological Challenges and Proposed Solutions,"Jacobson, B.",IOS,2001
79,Conservative Visibility Preprocessing for Complex Virtual Environments,"Kim, J.;Wohn, K.",IOS,2001
80,Interactive Urban Development Control with Collaborative Virtual Environments,"Manoharan, T.;Taylor, H.;Gardiner, P.",IOS,2001
81,Displaying Shiny Objects under Virtual Lighting,"Sato, K.;Sakata, Y.",IOS,2001
82,Investigation of Haptic Framework for Quantitative Design Analysis in a Virtual Environment,"Sharma, C.;Kesavadas, T.",IOS,2001
83,Virtual Chopsticks: Object Manipulation using Multiple Exact Interactions,"Kitamura, Y.; Higashi, T.; Masaki, T.; Kishino, F.",IEEE,1999
84,Telematics Applications Programme (particularly Health Care Telematics) and some words on Virtual Reality,"Christensen, J. P.",IDB Conferences and Seminars,1995
85,Towards a Software Development Kit for Motion Synthesis in Virtual Worlds,"Simeon, T.;Laumond, J.-P.;Lamiraux, F.",IOS,2001
86,Virtual keyboard with scanning and augmented by prediction,"Jones, P. E.",University of Reading,1998
87,The Virtual Reality for the Design of Complex Systems Application to the 3D Operating Room Simulation,"Cassier, C.;Ferreira, A.;Marche, P.",IOS,2001
88,Virtual professional networks between speech pathologists,"Magnusson, M.",University of Reading,1998
89,The Heaven and Earth Virtual Reality: Designing Applications for Novice Users,"Fairchild, K. M.;Beng Hai Lee;Loo, J.;Ng, H.",IEEE,1993
90,Intelligent Virtual Environments to Interactively Solve Spatial Configuration Tasks,"Calderon, C.;Cavazza, M.",IOS,2001
91,The Virtual Instructor Intervention: A Case in LEGO Robotics,"Mosley, P.H.; Doswell, J.T.",Hangzhou; Zhejiang University,2008
92,Teaching Algebra Using Culturally Relevant Virtual Instructors,"Gilbert, J.E.; Arbuthnot, K.; Hood, S.; Grant, M.M.; West, M.L.; McMillian, Y.; Cross, E.V.; Williams, P.; Eugene, W.",Hangzhou; Zhejiang University,2008
93,Affectively Engaged: Affect and Arousal Routes of Entertainment Virtual Reality,"Grigorovici, D.",IOS,2001
94,Evaluating the Importance of Multi-sensory Input on Memory and the Sense of Presence in Virtual Environments,"Dinh, H. Q.; Walker, N.; Hodges, L. F.; Song, C.",IEEE,1999
95,Virtual Reality as a Complex Interactive System: A Multidimensional Model of Person-Artificial Partner Co-Relations,"Libin, A.",IOS,2001
96,"Sensor Spatial Distortion, Visual Latency, and Update Rate Effects on 3D Tracking in Virtual Environments","Ellis, S. R.; Adelstein, B. D.; Baumeler, S.; Jense, G. J.",IEEE,1999
97,The Reality of Virtual Reality,"Yoh, M.-S.",IOS,2001
98,Hand-Held Windows: Towards Effective 2D Interaction in Immersive Virtual Environments,"Lindeman, R. W.; Sibert, J. L.; Hahn, J. K.",IEEE,1999
99,Virtual Reality: Social Impacts & Cultural Dimensions,"Schroeder, R.",Meckler,1993
100,Virtual Acoustic Technology: Its Role in the Development of an Auditory Navigation Beacon for Building Evacuation,"Rutherford, P.",Brunel University,1997
1,A Framework for Interactors in Immersive Virtual Environments,"Kessler, G. D.",IEEE,1999
2,Virtual reality for blind users,"Berka, R.;Slavik, P.",University of Reading,1998
3,Virtual reality in vestibular diagnosis and rehabilitation,"Alpini, D.;Pugnetti, L.;Mendozzi, L.;Barbieri, E.;Monti, B.;Cesarani, A.",University of Reading,1998
4,SiLVIA - A Simulation Library for Virtual Reality Applications,"Hotz, G.; Kerzmann, A.; Lennerz, C.; Schmid, R.",IEEE,1999
5,Virtual city for cognitive rehabilitation,"da Costa, R. M. M.;de Carvalho, L. A. V.;de Aragon, D. F.",University of Reading,2000
6,ALCOVE: Design and Implementation of an Object-Centric Virtual Environment,"Meyer, M.; Barr, A. H.",IEEE,1999
7,Virtual environment applications for the assessment and rehabilitation of attention and visuospatial cognitive processes: an update,"Rizzo, A.;Buckwalter, G.;Bowerly, T.;van Rooyen, A.;McGee, J.;van der Zaag, C.;Neuman, U.;Thiebaux, M.;Kim, L.;Chua, C.",University of Reading,2000
8,Virtual reality and stroke assessment: therapists perspectives,"Hilton, D.;Cobb, S.;Pridmore, T.",University of Reading,2000
9,Virtual reality in vocational training of people with learning disabilities,"Rose, D.;Brooks, B.;Attree, E.",University of Reading,2000
10,Virtual environments as spatial training aids for children and adults with physical disabilities,"Stanton, D.;Wilson, P.;Foreman, N.;Duffy, H.",University of Reading,2000
11,Virtual Flythrough over a Voxel-Based Terrain,"Wan, M.; Qu, H.; Kaufman, A.",IEEE,1999
12,Perceiving affordances in virtual reality: influence of person and environmental properties in perception of standing on virtual grounds,"Regia-Corte, T.; Marchal, M.; Cirio, G.; Lécuyer, A.",Springer Science + Business Media,2013
13,A Virtual Reality System for Knee Diagnosis and Surgery Simulation,"Zhu, Y.; Chen, J. X.; Fu, X.; Quammen, D.",IEEE,1999
14,An objective measure for the visual fidelity of virtual reality and the risks of falls in a virtual environment,"Menzies, R. J.; Rogers, S. J.; Phillips, A. M.; Chiarovano, E.; Waele, C.; Verstraten, F. A.; MacDougall, H.",Springer Science + Business Media,2016
15,Virtual prototypes reveal more development ideas: comparison between customers' evaluation of virtual and physical prototypes,"Tiainen, T.; Ellman, A.; Kaapu, T.",Taylor & Francis,2014
16,The Software Architecture of a Real-Time Battlefield Visualization Virtual Environment,"Julier, S.; King, R.; Colbert, B.; Durbin, J.",IEEE,1999
17,Virtual Reality: A Training World for Shoulder Arthroscopy,"Grange, S.; Bunker, T.; Cooper, J.",Brunel University,1997
18,A Virtual Assembly Design Environment,"Jayaram, S.; Wang, Y.; Jayaram, U.; Lyons, K.",IEEE,1999
19,The Round Earth Project: Deep Learning in a Collaborative Virtual World,"Johnson, A.; Moher, T.; Ohlsson, S.; Gillingham, M.",IEEE,1999
20,Map Usage in Virtual Environments: Orientation Issues,"Darken, R. P.; Cevik, H.",IEEE,1999
21,Navigating in Natural Environments: A Virtual Environment Training Transfer Study,"Darken, R. P.;Banker, W. P.",IEEE Computer Society,1998
22,"Distributed PC-Based Haptic, Visual and Acoustic Telepresence System - Experiments in Virtual and Remote Environments","Baier, H.; Buss, M.; Freyberger, F.; Hoogen, J.",IEEE,1999
23,Effects of Network Characteristics on Human Performance in a Collaborative Virtual Environment,"Park, K. S.; Kenyon, R. V.",IEEE,1999
24,A Virtual Reality Application for Software Visualization,"Amari, H.;Nagumo, T.;Okada, M.;Hirose, M.",IEEE,1993
25,User-Centered Design and Evaluation of a Real-Time Battlefield Visualization Virtual Environment,"Hix, D.; Swan, J. E.; Gabbard, J. L.; McGee, M.",IEEE,1999
26,Virtual reality as a communication aid for persons with aphasia,"Ahlsen, E.;Geroimenko, V.",University of Reading,1998
27,Leadership and Collaboration in Shared Virtual Environments,"Steed, A.; Slater, M.; Sadagic, A.; Bullock, A.",IEEE,1999
28,Utilizing Virtual Environments to Enable Learning in Human-robot Interaction Scenarios,"Howard, A.M.; Remy, S.",Hangzhou; Zhejiang University,2008
29,Avocado: A Distributed Virtual Reality Framework,"Tramberend, H.",IEEE,1999
30,Vestibular Cues and Virtual Environments: Choosing the Magnitude of the Vestibular Cue,"Harris, L.; Jenkin, M.; Zikovitz, D. C.",IEEE,1999
31,Resolving Object References in Multimodal Dialogues for Immersive Virtual Environments,"Pfeiffer, T.; Latoschik, M.","IEEE,",2004
32,The Use of a Virtual Environment for FE Analysis of Vehicle Crash Worthiness,"Kuschfeldt, S.; Schulz, M.; Ertl, T.; Reuding, T.",IEEE Computer Society Press,1997
33,Virtual Clay Modeling Using the ISU Exoskeleton,"Chai, Y.-H.;Luecke, G. R.;Edwards, J. C.",IEEE Computer Society,1998
34,A Distributed Virtual Driving Simulator,"Mourant, R. R.; Qiu, N.; Chiu, S. A.",IEEE Computer Society Press,1997
35,A Dead-Reckoning Algorithm for Virtual Human Figures,"Capin, T. K.; Thalmann, D.; Sunday Pandzic, I.; Nagnenat Thalmann, N. M.",IEEE Computer Society Press,1997
36,Virtual Cutting with Force Feedback,"Tanaka, A.;Hirota, K.;Kaneko, T.",IEEE Computer Society,1998
37,Panel on Virtual Humans - Abstract,"Hodgins, J.",IEEE Computer Society Press,1997
38,Factors Influencing Operator Interaction with Virtual Objects Viewed via Head-mounted See-through Displays: viewing conditions and rendering latency,"Ellis, S. R.; Breant, F.; Menges, B.; Jacoby, R.",IEEE Computer Society Press,1997
39,Environmental Media: Accessing Virtual Representations of Real-Time Sensor Data and Site-Specific Annotations Embedded in Physical Environments,"Fisher, S.",IOS,2001
40,Crossing Streets: A K-12 Virtual Reality Application for Understanding Knowledge Acquisition,"Rusch, F. R.; Millar, D. S.; Cimera, R. E.; Shelden, D. L.",IEEE Computer Society Press,1997
41,Measuring virtual experience in a three-dimensional virtual reality interactive simulator environment: a structural equation modeling approach,"Cheng, L. K.; Chieng, M. H.; Chieng, W. H.",Springer Science + Business Media,2014
42,OmniStereo for Panoramic Virtual Environment Display Systems,"Simon, A.; Smith, R.; Pawlicki, R.","IEEE,",2004
43,Improving Collision Detection in Distributed Virtual Environments by Adaptive Collision Prediction Tracking,"Ohlenburg, J.","IEEE,",2004
44,Shopping in virtual reality: a study on consumers' shopping experience in a stereoscopic virtual reality,"Lau, Kung Wong; Lee, Pui Yuen",Springer Nature,2018
45,Do virtual reality head-mounted displays make a difference? A comparison of presence and self-efficacy between head-mounted displays and desktop computer-facilitated virtual environments,"Shu, Yu; Huang, Yen-Zhang; Chang, Shu-Hsuan; Chen, Mu-Yen",Springer Nature,2018
46,Virtual Leading Blocks for the Deaf-Blind: A Real-Time Way-Finder by Verbal-Nonverbal Hybrid Interface and High-Density RFID Tag Space,"Amemiya, T.; Yamashita, J.; Hirota, K.; Hirose, M.","IEEE,",2004
47,Effects of Travel Technique on Cognition in Virtual Environments,"Zanbaka, C.; Lok, B.; Babu, S.; Xiao, D.; Ulinski, A.; Hodges, L.","IEEE,",2004
48,Transition Between Virtual Environment and Workstation Environment with Projective Head Mounted Display,"Kijima, R.; Ojika, T.",IEEE Computer Society Press,1997
49,The Effect of Environment Characteristics and User Interaction on Levels of Virtual Environment Sickness,"Ruddle, R.","IEEE,",2004
50,Adaptive Scene Synchronization for Virtual and Mixed Reality Environments,"Hamza-Lup, F.; Rolland, J.","IEEE,",2004
51,Virtual Notational Ship Simulation Supporting SC-21 Design,"Kramer, R.; Mensh, D.; Feinberg, J.; Beadling, R.",The Society,1996
52,Making of a Virtual World of Heijokyo from Historical Knowledge,"Utsugi, K.;Moriya, T.;Takeda, H.",IOS,2001
53,Cloud Simulation in Virtual Environments,"Unbescheiden, M.;Trembilski, A.",IEEE Computer Society,1998
54,The Mobile Animator: Interactive Character Animation in Collaborative Virtual Environments,"Gutierrez, M.; Vexo, F.; Thalmann, D.","IEEE,",2004
55,Diversity and Aesthetic Appeal for a Virtual Reality World of Chinese Art,"Tsai, S.-T.;Hsieh, C.-K.",IOS,2001
56,Distributed Virtual Reality for Everyone - A Framework for Networked VR on the Internet,"Broll, W.",IEEE Computer Society Press,1997
57,An Extensible Interactive Visualization Framework for the Virtual Windtunnel,"Bryson, S.; Johan, S.; Schlecht, L.",IEEE Computer Society Press,1997
58,Aiding Orientation Performance in Virtual Environments with Proprioceptive Feedback,"Bakker, N. H.;Werkhoven, P. J.;Passenier, P. O.",IEEE Computer Society,1998
59,Agent Architecture for a Real World Autonomous Virtual Guide: Interaction between the Decision and Perception Processes and Environment Representation,"Veyret, M.; Maisel, E.; Tisseau, J.",Hangzhou; Zhejiang University,2008
60,Applying Virtual and Augmented Reality in Cultural Computing,"Bartneck, C.; Hu, J.; Salem, B.; Cristescu, R.; Rauterberg, M.",Hangzhou; Zhejiang University,2008
61,Two Performances in the 21st. Century Virtual Color Organ: GridJam and Im Januar am Nil,"Ox, J.",IOS,2001
62,An Educational Virtual Scenario for Learning Chaos and Complexity Theories,"Bertacchini, F.; Bilotta, E.; Pantano, P.",Hangzhou; Zhejiang University,2008
63,CORBA Platform as Support for Distributed Virtual Environments,"Deriggi, F. V.; Kubo, M. M.; Sementille, A. C.; Brega, J. R. F.",IEEE,1999
64,A virtual reality keyboard with realistic haptic feedback in a fully immersive virtual environment,"Wu, C. M.; Hsu, C. W.; Lee, T. K.; Smith, S.",Springer Science + Business Media,2017
65,A 3D Pedagogical Agent Enhanced Virtual Therapy System for People with Idiopathic Parkinson Disease,"Yan, J.",Hangzhou; Zhejiang University,2008
66,Intelligent Mobile Agents for Large-Scale Collaborative Virtual Environment,"Lin, Q.; Zhang, L.; Ding, S.; Feng, G.; Huang, G.",Hangzhou; Zhejiang University,2008
67,"""Neon"" Digipainting: Modeling Electronic Arts and Ubiquitous Computing in a Virtual Environment","Ala-Siuru, P.",IOS,2001
68,Walking about Virtual Environments on an Infinite Floor,"Iwata, H.",IEEE,1999
69,Building Large Scale Virtual Environments for Collaborative Working: The COVEN Project,"Slater, M.;Fahlen, L.;Normand, V.;Rodden, T.",IEEE Computer Society,1998
70,"""Friend Park""-Expression of the Wind and the Scent on Virtual Space","Tominaga, K.;Honda, S.;Ohsawa, T.;Shigeno, H.;Okada, K.-I.;Matsushita, Y.",IOS,2001
71,Development and Testing of a Measure of the Kinesthetic Position Sense Used to Assess the Aftereffects from Virtual Environment Exposure,"Stanney, K. M.; Kennedy, R. S.",IEEE Computer Society Press,1997
72,An Introduction of a Direct Vestibular Display into a Virtual Environment,"Cress, J. D.; Hettinger, L. J.; Cunningham, J. A.; Riccio, G. E.",IEEE Computer Society Press,1997
73,Panel on Human Performance in Virtual Environments - Abstract,"Sobel, A.",IEEE Computer Society Press,1997
74,Virtual Environments for Shipboard Firefighting Training,"Tare, D. L.; Sibert, L.; King, T.",IEEE Computer Society Press,1997
75,Visualizing the Structure of Virtual Objects Using Head Tracked Stereoscopic Displays,"Barfield, W.; Hendrix, C.; Brystrom, K.",IEEE Computer Society Press,1997
76,Virtual Reality Training Simulation for Palpation of Subsurface Tumors,"Dinsmore, M.; Langrana, N.; Burdea, G.; Ladeji, J.",IEEE Computer Society Press,1997
77,Travel in Immersive Virtual Environments: An Evaluation of Viewpoint Motion Control Techniques,"Bowman, D. A.; Koller, D.; Hodges, L. F.",IEEE Computer Society Press,1997
78,Navigating Through Virtual Flight Environments Using Brain-Body-Actuated Control,"Nelson, W. T.; Hettinger, L. J.; Cunningham, J. A.; Roe, M. M.",IEEE Computer Society Press,1997
79,Human Behavior-Oriented Adaptive Texture Mapping: A Time Critical Approach for Image-Based Virtual Showrooms,"Fujishiro, I.; Maruyama, T.; Tanaka, R.",IEEE Computer Society Press,1997
80,Distance Learning Classroom Using Virtual Harlem,"Park, K.;Leigh, J.;Johnson, A.;Carter, B.;Brody, J.;Sosnoski, J.",IOS,2001
81,Hand Manipulation of Virtual Objects in Wearable Augmented Reality,"Kojima, Y.;Yasumuro, Y.;Sasaki, H.;Kanaya, I.;Oshiro, O.;Kuroda, T.;Manabe, Y.;Chihara, K.",IOS,2001
82,Agent-based Intelligence Decision Support System for Virtual Greenhouse,"Wei, W.; Guo, X.; Lu, S.; Zhao, C.",Hangzhou; Zhejiang University,2008
83,Scalable Prediction Based Concurrency Control for Distributed Virtual Environments,"Yang, J.;Lee, D.",IEEE,2000
84,"Registration Rooms, Lobbies, and Portals: Interconnecting Large-Scale Networked Virtual Environments and Collaborations","Singhal, S. K.;Nguyen, B. Q.",IEEE Computer Society,1998
85,Making WAVES: On the Design of Architectures for Low-end Distributed Virtual Environments,"Kazman, R.",IEEE,1993
86,The Simnet Virtual World Architecture,"Calvin, J.;Dickens, A.;Gaines, B.;Metzger, P.",IEEE,1993
87,Virtual Worlds as Fuzzy Cognitive Maps,"Dickerson, J. A.;Kosko, B.",IEEE,1993
88,Neural Modeling of Face Animation for Telecommuting in Virtual Reality,"Caudell, T. P.;Janin, A. L.;Johnson, S. K.",IEEE,1993
89,Facial Expression Synthesis Based on Natural Voice for Virtual Face-to-Face Communication with Machine,"Morishima, S.;Harashima, H.",IEEE,1993
90,The virtual playground: an educational virtual reality environment for evaluating interactivity and conceptual learning,"Roussou, M.; Oliver, M.; Slater, M.",Springer Science + Business Media,2006
91,Implementation of Stiff Virtual Walls in Force-Reflecting Interfaces,"Colgate, J. E.;Grafing, P. E.;Stanley, M. C.;Schenkel, G.",IEEE,1993
92,VRML 2.0 PerfToolkit for Large-scaled Virtual Environments Authoring,"Choi, J.",IOS,2000
93,Gender differences in spatial navigation in virtual space: implications when using virtual environments in instruction and assessment,"Ross, S. P.; Skelton, R. W.; Mueller, S. C.",Springer Science + Business Media,2006
94,The Virtual Sailor: An Implementation of Interactive Human Body Modeling,"Chen, D. T.;Pieper, S. D.;Singh, S. K.;Rosen, J. M.",IEEE,1993
95,Realtime Collision Detection for Virtual Reality Applications,"Youn, J.-H.;Wohn, K.",IEEE,1993
96,The Virtual Construction Site (VIRCON): A Decision Support System for Construction Planning,"Dawood, N.",IOS,2000
97,Evacuation Simulation: Visualisation Using Virtual Humans in a Distributed multi-user Immersive VR System,"Hareesh, P. V.",IOS,2000
98,The Virtual Panel Architecture: A 3D Gesture Framework,"Su, S. A.;Furuta, R.",IEEE,1993
99,DIVE - a Multi User Virtual Reality System,"Carlsson, C.;Hagsand, O.",IEEE,1993
100,"From ""Technology Push to Market Pull"" Virtual Reality in the Real World","Stone, R. J.;Connell, A. P.",IDB Conferences and Seminars,1995
1,Virtual Reality in France,"Berger, P.",IDB Conferences and Seminars,1995
2,Implications of Balance Disturbances Following Exposure to Virtual Reality Systems,"Kennedy, R. S.;Lilienthal, M. G.",IEEE Computer Society Press,1995
3,Virtual Reality in the German Speaking Area and the Consideration of the European Circumstances,"Bauer, C.",IDB Conferences and Seminars,1995
